text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
XXX,green,m,neutral,,,,,0,0,0,0,0,21,21,13,,,163.5310549736023,None,m,1,0.3319361209869385,163.5310549736023,None,163.0453269481659,163.5902979373932,,,,,,,163.95711493492126,None,163.93859770298005,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,red,z,incongruent,,,,,0,0,0,0,0,22,22,30,,,165.98401999473572,None,z,1,0.358443021774292,165.98401999473572,None,165.49587988853455,166.043310880661,,,,,,,166.3980369567871,None,166.38639357089997,166.8976719379425,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,,,,,0,0,0,0,0,23,23,9,,,168.42055892944336,None,m,1,0.4500720500946045,168.42055892944336,None,167.94109392166138,168.48163390159607,,,,,,,168.93976187705994,None,168.9243366956711,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXXXX,red,z,neutral,,,,,0,0,0,0,0,24,24,26,,,170.95131397247314,None,z,1,0.3671000003814697,170.95131397247314,None,170.47695302963257,171.01045393943787,,,,,,,171.36794686317444,None,171.35361649990082,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,,,,,0,0,0,0,0,25,25,31,,,173.39153790473938,None,m,1,0.4550461769104004,173.39153790473938,None,172.90646505355835,173.45391488075256,,,,,,,173.92382884025574,None,173.9062826871872,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,,,,,0,0,0,0,0,26,26,11,,,175.97464084625244,None,m,1,0.6398069858551025,175.97464084625244,None,175.48196697235107,176.0373818874359,,,,,,,176.67236804962158,None,176.66084554195405,177.17932987213135,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,,,,,0,0,0,0,0,27,27,10,,,178.7210409641266,None,z,1,0.27757811546325684,178.7210409641266,None,178.2273988723755,178.78358507156372,,,,,,,179.0749728679657,None,179.0570955514908,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,,,,,0,0,0,0,0,28,28,32,,,181.1024239063263,None,z,1,0.584226131439209,181.1024239063263,None,180.61002802848816,181.1650059223175,,,,,,,181.76951694488525,None,181.75213363170624,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,,,,,0,0,0,0,0,29,29,35,,,183.8065209388733,None,m,1,0.31226396560668945,183.8065209388733,None,183.31321787834167,183.86939692497253,,,,,,,184.20522499084473,None,184.1874265909195,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXXXX,red,z,neutral,,,,,0,0,0,0,0,30,30,14,,,186.23057198524475,None,z,1,0.41626405715942383,186.23057198524475,None,185.74137496948242,186.29095697402954,,,,,,,186.71557188034058,None,186.69752457141877,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
